epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.28,4.22186,13.1449,4.62755,0,0,0,0,nan,nan,nan,0.000472931,0.000472931,0.000472931
2,274.762,3.74154,4.04884,4.23792,0,0,0,0,nan,nan,nan,0.000939867,0.000939867,0.000939867
3,351.685,3.61166,3.66579,4.14064,0,0,0,0,nan,nan,nan,0.00139737,0.00139737,0.00139737
4,429,3.29851,3.552,3.9037,0.49474,0.52982,0.51286,0.2049,4.42556,3.23614,4.25096,0.00138656,0.00138656,0.00138656
5,505.921,3.11436,3.27187,3.73745,0.16816,0.20707,0.13302,0.04123,6.86547,5.90504,6.1681,0.00137241,0.00137241,0.00137241
6,582.841,2.94887,2.95365,3.60135,0.65723,0.66015,0.69167,0.29207,3.718,2.75813,3.76506,0.00135826,0.00135826,0.00135826
7,659.71,2.95276,2.98926,3.5796,0.76141,0.67964,0.74308,0.3236,3.51125,2.69643,3.5036,0.00134412,0.00134412,0.00134412
8,736.777,2.85407,2.83897,3.42005,0.74267,0.71103,0.74808,0.32795,3.61796,2.57882,3.55848,0.00132997,0.00132997,0.00132997
9,813.625,2.78192,2.73983,3.38668,0.559,0.606,0.59949,0.28243,3.34389,2.84943,3.36585,0.00131582,0.00131582,0.00131582
10,890.362,2.75896,2.63174,3.39663,0.77908,0.73346,0.8213,0.39385,3.24138,2.39711,3.17761,0.00130168,0.00130168,0.00130168
11,967.252,2.71383,2.54021,3.31684,0.74593,0.67437,0.77843,0.38403,3.35356,2.35471,3.32699,0.00128753,0.00128753,0.00128753
12,1044.28,2.7609,2.5152,3.35292,0.86608,0.76616,0.85601,0.46262,3.09334,2.10433,2.99768,0.00127338,0.00127338,0.00127338
13,1121.14,2.66083,2.37236,3.27707,0.64761,0.39449,0.47369,0.12479,5.22486,4.95036,6.13651,0.00125923,0.00125923,0.00125923
14,1197.89,2.65373,2.34762,3.24541,0.76091,0.80139,0.83832,0.46973,3.06241,2.05119,2.92561,0.00124509,0.00124509,0.00124509
15,1274.73,2.61276,2.35729,3.19222,0.79712,0.7563,0.83705,0.44274,3.09373,2.08343,3.00139,0.00123094,0.00123094,0.00123094
16,1351.8,2.52846,2.33764,3.14348,0.76221,0.76869,0.80359,0.36582,3.22792,2.53317,3.08721,0.00121679,0.00121679,0.00121679
17,1428.74,2.56101,2.30974,3.12705,0.79411,0.78394,0.85565,0.47593,2.96704,1.9231,2.81743,0.00120265,0.00120265,0.00120265
18,1505.55,2.49871,2.23896,3.07521,0.4996,0.26941,0.3038,0.07742,6.81041,9.07632,8.96999,0.0011885,0.0011885,0.0011885
19,1582.35,2.49603,2.22448,3.09697,0.58056,0.47664,0.46904,0.14309,5.13743,4.31265,6.19956,0.00117435,0.00117435,0.00117435
20,1659.46,2.47149,2.09248,3.06041,0.89488,0.76033,0.84977,0.4619,3.00655,1.95444,2.83314,0.00116021,0.00116021,0.00116021
